WKT,name,description
"POLYGON ((88.391422 22.641689, 88.391185 22.630575, 88.401978 22.623193, 88.412321 22.629976, 88.412622 22.641372, 88.401916 22.648516, 88.391422 22.641689))",Rabindra Nagar-Durganagar,
"POLYGON ((88.6139351 22.8172238, 88.614021 22.8060416, 88.6219173 22.8014526, 88.6296869 22.8052523, 88.6296869 22.8174363, 88.6218763 22.8223412, 88.6139351 22.8172238))",Khasdelpur,
"POLYGON ((88.6046673 22.8334559, 88.6046655 22.8225243, 88.6139351 22.8172238, 88.6218763 22.8223412, 88.6218762 22.8338514, 88.6130357 22.8389139, 88.6046673 22.8334559))",Habra-Bellus Garden,
"POLYGON ((88.370113 22.641767, 88.370113 22.630495, 88.380286 22.623624, 88.391185 22.630575, 88.391422 22.641689, 88.380692 22.648752, 88.370113 22.641767))",sodpore- baranagar,
"POLYGON ((88.6218762 22.8338514, 88.6218763 22.8223412, 88.6296869 22.8174363, 88.6378408 22.822816, 88.6378408 22.8344448, 88.6296011 22.8387163, 88.6218762 22.8338514))",Habra-Sherpur,
"POLYGON ((88.412622 22.641372, 88.412321 22.629976, 88.423221 22.622876, 88.4338 22.6299, 88.4338 22.641093, 88.423116 22.648199, 88.412622 22.641372))",Rajbari-laketown,
"POLYGON ((88.6378408 22.822816, 88.6296869 22.8174363, 88.6296869 22.8052523, 88.6383558 22.8019687, 88.6460377 22.8058456, 88.6460806 22.8177132, 88.6378408 22.822816))",Hirapole,
"POLYGON ((88.6128643 22.8488408, 88.6130357 22.8389139, 88.6218762 22.8338514, 88.6296011 22.8387163, 88.6294292 22.8490781, 88.6215331 22.8537444, 88.6128643 22.8488408))",Ashoke Nagar,
"POLYGON ((88.6294292 22.8490781, 88.6296011 22.8387163, 88.6378408 22.8344448, 88.6459089 22.838835, 88.6457373 22.8493946, 88.6376692 22.8537448, 88.6294292 22.8490781))",Habra-Millennium Park,
"POLYGON ((88.6459089 22.838835, 88.6378408 22.8344448, 88.6378408 22.822816, 88.6460806 22.8177132, 88.6545778 22.822816, 88.6546637 22.8345239, 88.6459089 22.838835))",South Habra-2,
"POLYGON ((88.6457373 22.8493946, 88.6459089 22.838835, 88.6546637 22.8345239, 88.6621307 22.8384792, 88.6622166 22.848999, 88.6536337 22.8548518, 88.6457373 22.8493946))",Habra,
"POLYGON ((88.6621307 22.8384792, 88.6546637 22.8345239, 88.6545778 22.822816, 88.662409 22.8198921, 88.6694042 22.8233335, 88.6697047 22.8344481, 88.6621307 22.8384792))",South Habra-1,
"POLYGON ((88.6622166 22.848999, 88.6621307 22.8384792, 88.6697047 22.8344481, 88.6768715 22.8383637, 88.6767857 22.8485674, 88.6697476 22.8539458, 88.6622166 22.848999))",Joygachi,
"POLYGON ((88.6215966 22.8616176, 88.6215331 22.8537444, 88.6294292 22.8490781, 88.6376692 22.8537448, 88.6378186 22.8614595, 88.6300938 22.8658883, 88.6215966 22.8616176))",Kalpataru,
"POLYGON ((88.6378186 22.8614595, 88.6376692 22.8537448, 88.6457373 22.8493946, 88.6536337 22.8548518, 88.6535256 22.8614595, 88.6453717 22.8654138, 88.6378186 22.8614595))",Habra-2,
"POLYGON ((88.6535256 22.8614595, 88.6536337 22.8548518, 88.6622166 22.848999, 88.6697476 22.8539458, 88.6699192 22.8624085, 88.6611645 22.8657302, 88.6535256 22.8614595))",hatthuba,
"POLYGON ((88.402123 22.73163, 88.402 22.720353, 88.412772 22.713218, 88.423286 22.720353, 88.423238 22.731472, 88.412688 22.738501, 88.402123 22.73163))",Sodpur- iswaripur,
"POLYGON ((88.46581 22.730997, 88.465902 22.71974, 88.476308 22.712822, 88.486969 22.719678, 88.487094 22.730842, 88.476287 22.737712, 88.46581 22.730997))",Barasat-Champadali,
"POINT (88.37733 22.6415)",Prakriti Ponno,
"POINT (88.388577 22.727693)",22.727693, 88.388577,
"POINT (88.45361 22.63765)",SUNDARESWAR - S2D,
"POINT (88.388577 22.727693)",22.727693, 88.388577,
"POLYGON ((88.1266588 22.7604053, 88.116402 22.7524904, 88.116917 22.7384007, 88.1285471 22.7337698, 88.1394476 22.739311, 88.1396192 22.7534007, 88.1266588 22.7604053))",Polygon 98,
"POLYGON ((88.0132315 22.8923822, 87.9970953 22.8838423, 87.9996702 22.8623321, 88.0166647 22.8544231, 88.0352041 22.8670773, 88.0352041 22.8847912, 88.0132315 22.8923822))",Polygon 99,
